,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
220,Josip Iličić\Josip-Ilicic,si SVN,FWMF,Atalanta,32-365,1988,13,10,838,9.3,3,5,1,1,0,0,0.32,0.54,0.86,0.21,0.75,3.1,2.4,4.5,0.33,0.48,0.81,0.25,0.73,Matches
221,Ciro Immobile\Ciro-Immobile,it ITA,FW,Lazio,30-343,1990,17,16,1362,15.1,13,2,3,4,3,1,0.86,0.13,0.99,0.66,0.79,8.6,5.6,1.6,0.57,0.11,0.68,0.37,0.48,Matches
222,Riccardo Improta\Riccardo-Improta,it ITA,MFDF,Benevento,27-040,1993,18,10,1091,12.1,1,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,1.7,1.7,0.9,0.14,0.07,0.21,0.14,0.21,Matches
223,Roberto Inglese\Roberto-Inglese,it ITA,FW,Parma,29-077,1991,12,6,548,6.1,0,1,0,0,2,0,0.00,0.16,0.16,0.00,0.16,0.6,0.6,0.4,0.10,0.07,0.16,0.10,0.16,Matches
224,Lorenzo Insigne\Lorenzo-Insigne,it ITA,FW,Napoli,29-238,1991,15,15,1196,13.3,9,3,3,3,2,1,0.68,0.23,0.90,0.45,0.68,7.7,5.5,3.1,0.58,0.24,0.82,0.41,0.65,Matches
225,Roberto Insigne\Roberto-Insigne,it ITA,MFFW,Benevento,26-262,1994,17,12,1022,11.4,2,3,0,0,2,0,0.18,0.26,0.44,0.18,0.44,2.7,2.7,2.2,0.24,0.19,0.43,0.24,0.43,Matches
226,Artur Ioniță\Artur-Ionita,md MDA,MF,Benevento,30-164,1990,19,19,1563,17.4,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.2,0.03,0.01,0.04,0.03,0.04,Matches
227,Ardian Ismajli\Ardian-Ismajli,al ALB,DF,Spezia,24-120,1996,4,2,190,2.1,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
228,Armando Izzo\Armando-Izzo,it ITA,DF,Torino,28-332,1992,9,8,639,7.1,2,0,0,0,2,0,0.28,0.00,0.28,0.28,0.28,0.4,0.4,0.1,0.05,0.01,0.06,0.05,0.06,Matches
229,Mato Jajalo\Mato-Jajalo,ba BIH,MF,Udinese,32-248,1988,1,0,34,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
230,Jakub Jankto\Jakub-Jankto,cz CZE,MF,Sampdoria,25-009,1996,17,15,1180,13.1,4,3,0,0,5,0,0.31,0.23,0.53,0.31,0.53,1.8,1.8,2.1,0.14,0.16,0.30,0.14,0.30,Matches
231,Juan Jesus\Juan-Jesus,br BRA,DF,Roma,29-232,1991,3,0,93,1.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
232,Hamed Junior Traorè\Hamed-Junior-Traore,ci CIV,FWMF,Sassuolo,20-347,2000,17,10,848,9.4,2,1,0,0,2,0,0.21,0.11,0.32,0.21,0.32,1.5,1.5,1.4,0.16,0.15,0.32,0.16,0.32,Matches
233,Nikola Kalinić\Nikola-Kalinic,hr CRO,FW,Hellas Verona,33-023,1988,10,9,563,6.3,1,0,0,0,0,0,0.16,0.00,0.16,0.16,0.16,2.7,2.7,0.2,0.43,0.03,0.46,0.43,0.46,Matches
234,Pierre Kalulu\Pierre-Kalulu,fr FRA,DF,Milan,20-237,2000,8,4,477,5.3,1,0,0,0,1,0,0.19,0.00,0.19,0.19,0.19,0.6,0.6,0.0,0.12,0.01,0.12,0.12,0.12,Matches
235,Yann Karamoh\Yann-Karamoh,fr FRA,FWMF,Parma,22-204,1998,16,10,865,9.6,1,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,2.3,2.3,1.2,0.24,0.13,0.37,0.24,0.37,Matches
236,Augustus Kargbo\Augustus-Kargbo,sl SLE,FW,Crotone,21-157,1999,1,0,32,0.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
237,Rick Karsdorp\Rick-Karsdorp,nl NED,DF,Roma,25-352,1995,16,15,1321,14.7,1,4,0,0,1,0,0.07,0.27,0.34,0.07,0.34,0.9,0.9,3.0,0.06,0.21,0.27,0.06,0.27,Matches
238,Franck Kessié\Franck-Kessie,ci CIV,MF,Milan,24-040,1996,18,17,1545,17.2,6,2,5,6,6,0,0.35,0.12,0.47,0.06,0.17,6.6,2.0,0.9,0.38,0.06,0.44,0.12,0.17,Matches
239,Omar Khailoti\Omar-Khailoti,it ITA,DF,Bologna,19-145,2001,1,0,28,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
240,Giorgos Kiriakopoulos\Giorgos-Kiriakopoulos,gr GRE,DF,Sassuolo,24-358,1996,13,8,762,8.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.7,0.09,0.08,0.17,0.09,0.17,Matches
241,Simon Kjær\Simon-Kjaer,dk DEN,DF,Milan,31-308,1989,14,14,1176,13.1,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.4,0.07,0.03,0.10,0.07,0.10,Matches
242,Ragnar Klavan\Ragnar-Klavan,ee EST,DF,Cagliari,35-090,1985,9,5,424,4.7,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
243,Justin Kluivert\Justin-Kluivert,nl NED,FWMF,Roma,21-268,1999,2,0,19,0.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.05,0.00,0.05,0.05,0.05,Matches
244,Aleksandar Kolarov\Aleksandar-Kolarov,rs SRB,DF,Inter,35-079,1985,7,4,390,4.3,0,1,0,0,0,0,0.00,0.23,0.23,0.00,0.23,0.1,0.1,0.9,0.03,0.22,0.25,0.03,0.25,Matches
245,Christian Kouamé\Christian-Kouame,ci CIV,FW,Fiorentina,23-053,1997,18,5,561,6.2,1,0,0,0,1,0,0.16,0.00,0.16,0.16,0.16,3.0,3.0,0.3,0.48,0.06,0.54,0.48,0.54,Matches
246,Kalidou Koulibaly\Kalidou-Koulibaly,sn SEN,DF,Napoli,29-222,1991,14,14,1216,13.5,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.03,0.01,0.05,0.03,0.05,Matches
247,Rade Krunić\Rade-Krunic,ba BIH,MF,Milan,27-113,1993,12,2,332,3.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.1,0.12,0.04,0.16,0.12,0.16,Matches
248,Juraj Kucka\Juraj-Kucka,sk SVK,MFFW,Parma,33-337,1987,15,15,1274,14.2,3,1,1,1,4,0,0.21,0.07,0.28,0.14,0.21,3.0,2.3,1.3,0.21,0.09,0.30,0.16,0.25,Matches
249,Dejan Kulusevski\Dejan-Kulusevski,se SWE,FWMF,Juventus,20-278,2000,17,8,842,9.4,3,1,0,0,5,0,0.32,0.11,0.43,0.32,0.43,1.4,1.4,2.6,0.15,0.27,0.42,0.15,0.42,Matches
250,Marash Kumbulla\Marash-Kumbulla,al ALB,DF,Roma,20-355,2000,11,7,662,7.4,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,0.7,0.7,0.4,0.10,0.05,0.15,0.10,0.15,Matches
251,Jasmin Kurtić\Jasmin-Kurtic,si SVN,MF,Parma,32-018,1989,17,16,1373,15.3,2,0,0,0,2,0,0.13,0.00,0.13,0.13,0.13,2.0,2.0,1.1,0.13,0.07,0.21,0.13,0.21,Matches
252,Antonino La Gumina\Antonino-La-Gumina,it ITA,FW,Sampdoria,24-328,1996,6,2,209,2.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.15,0.00,0.15,0.15,0.15,Matches
253,Sam Lammers\Sam-Lammers,nl NED,FWMF,Atalanta,23-273,1997,10,1,205,2.3,2,0,0,0,0,0,0.88,0.00,0.88,0.88,0.88,1.2,1.2,0.1,0.51,0.04,0.55,0.51,0.55,Matches
254,Gianluca Lapadula\Gianluca-Lapadula,pe PER,FW,Benevento,30-356,1990,19,15,1301,14.5,4,2,0,1,2,0,0.28,0.14,0.42,0.28,0.42,6.3,5.3,2.4,0.43,0.17,0.60,0.37,0.54,Matches
255,Danilo Larangeira\Danilo-Larangeira,br BRA,DF,Bologna,36-263,1984,19,18,1692,18.8,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.01,0.02,0.03,0.01,0.03,Matches
256,Kevin Lasagna\Kevin-Lasagna,it ITA,FW,Udinese,28-171,1992,17,12,1103,12.3,2,1,0,0,1,0,0.16,0.08,0.24,0.16,0.24,7.3,7.3,0.6,0.60,0.05,0.65,0.60,0.65,Matches
257,Vincent Laurini\Vincent-Laurini,fr FRA,DF,Parma,31-232,1989,4,3,314,3.5,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
258,Darko Lazović\Darko-Lazovic,rs SRB,DFMF,Hellas Verona,30-135,1990,13,10,901,10.0,1,1,0,0,2,0,0.10,0.10,0.20,0.10,0.20,1.5,1.5,0.8,0.15,0.08,0.23,0.15,0.23,Matches
259,Manuel Lazzari\Manuel-Lazzari,it ITA,DF,Lazio,27-060,1993,17,15,1369,15.2,1,4,0,0,2,0,0.07,0.26,0.33,0.07,0.33,1.0,1.0,2.2,0.06,0.14,0.21,0.06,0.21,Matches
260,Rafael Leão\Rafael-Leao,pt POR,FW,Milan,21-232,1999,14,12,1005,11.2,5,4,0,0,5,0,0.45,0.36,0.81,0.45,0.81,2.5,2.5,2.5,0.22,0.23,0.45,0.22,0.45,Matches
261,Lucas Leiva\Lucas-Leiva,br BRA,MF,Lazio,34-019,1987,14,12,899,10.0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.2,0.02,0.02,0.04,0.02,0.04,Matches
262,Lukas Lerager\Lukas-Lerager,dk DEN,MF,Genoa,27-200,1993,16,13,1159,12.9,0,1,0,0,0,0,0.00,0.08,0.08,0.00,0.08,0.5,0.5,0.4,0.04,0.03,0.07,0.04,0.07,Matches
263,Mehdi Léris\Mehdi-Leris,fr FRA,MFDF,Sampdoria,22-250,1998,12,1,191,2.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.10,0.10,0.00,0.10,Matches
264,Gaetano Letizia\Gaetano-Letizia,it ITA,DF,Benevento,30-213,1990,15,14,1221,13.6,3,0,0,0,1,0,0.22,0.00,0.22,0.22,0.22,0.3,0.3,0.7,0.02,0.05,0.08,0.02,0.08,Matches
265,Matthijs de Ligt\Matthijs-de-Ligt,nl NED,DF,Juventus,21-169,1999,10,9,819,9.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.03,0.02,0.05,0.03,0.05,Matches
266,Karol Linetty\Karol-Linetty,pl POL,MF,Torino,25-361,1995,19,18,1574,17.5,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,1.2,0.04,0.07,0.11,0.04,0.11,Matches
267,Pol Lirola\Pol-Lirola,es ESP,DFFW,Fiorentina,23-168,1997,12,4,498,5.5,0,1,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,0.5,0.06,0.09,0.15,0.06,0.15,Matches
268,Fernando Llorente\Fernando-Llorente,es ESP,FWMF,Napoli,35-337,1985,3,0,52,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.25,0.17,0.42,0.25,0.42,Matches
