,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
307,Martín Merquelanz\Martin-Merquelanz,es ESP,FWMF,Real Sociedad,25-230,1995,8,3,392,4.4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.4,0.16,0.31,0.47,0.16,0.47,Matches
308,Roque Mesa\Roque-Mesa,es ESP,MF,Valladolid,31-235,1989,9,7,635,7.1,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.7,0.06,0.10,0.16,0.06,0.16,Matches
309,Lionel Messi\Lionel-Messi,ar ARG,FWMF,Barcelona,33-218,1987,17,16,1459,16.2,11,2,2,3,3,0,0.68,0.12,0.80,0.56,0.68,11.5,9.0,5.0,0.71,0.31,1.02,0.56,0.86,Matches
310,Omenuke Mfulu\Omenuke-Mfulu,cd COD,MF,Elche,26-314,1994,11,4,361,4.0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
311,Míchel\Michel,es ESP,MF,Valladolid,32-183,1988,9,6,493,5.5,2,0,0,0,1,0,0.37,0.00,0.37,0.37,0.37,0.3,0.3,0.2,0.05,0.03,0.08,0.05,0.08,Matches
312,Éder Militão\Eder-Militao,br BRA,DF,Real Madrid,23-010,1998,3,2,225,2.5,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.11,0.00,0.11,0.11,0.11,Matches
313,Luis Milla\Luis-Milla,es ESP,MF,Granada,26-113,1994,16,14,1253,13.9,1,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,0.5,0.5,2.1,0.04,0.15,0.19,0.04,0.19,Matches
314,Pere Milla\Pere-Milla,es ESP,FWMF,Elche,28-127,1992,15,12,1080,12.0,1,1,0,0,3,0,0.08,0.08,0.17,0.08,0.17,2.8,2.8,0.6,0.24,0.05,0.29,0.24,0.29,Matches
315,Alejandro Millán\Alejandro-Millan,es ESP,FW,Villarreal,21-082,1999,1,0,2,0.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
316,Santi Mina\Santi-Mina,es ESP,FW,Celta Vigo,25-052,1995,17,12,1076,12.0,2,1,0,0,1,0,0.17,0.08,0.25,0.17,0.25,3.2,3.2,0.6,0.27,0.05,0.31,0.27,0.31,Matches
317,Óscar Mingueza\Oscar-Mingueza,es ESP,DF,Barcelona,21-260,1999,10,8,695,7.7,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
318,Rafa Mir\Rafa-Mir,es ESP,FW,Huesca,23-224,1997,20,14,1294,14.4,3,1,0,0,1,0,0.21,0.07,0.28,0.21,0.28,3.8,3.8,1.5,0.26,0.10,0.36,0.26,0.36,Matches
319,Jorge Miramón\Jorge-Miramon,es ESP,DF,Levante,31-240,1989,15,11,1003,11.1,0,1,0,0,1,0,0.00,0.09,0.09,0.00,0.09,0.6,0.6,0.8,0.05,0.07,0.12,0.05,0.12,Matches
320,Juan Miranda\Juan-Miranda,es ESP,DF,Betis,21-009,2000,10,7,700,7.8,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,0.4,0.4,0.4,0.05,0.06,0.10,0.05,0.10,Matches
321,Luka Modrić\Luka-Modric,hr CRO,MF,Real Madrid,35-141,1985,18,16,1360,15.1,3,2,0,0,2,0,0.20,0.13,0.33,0.20,0.33,1.3,1.3,2.5,0.09,0.16,0.25,0.09,0.25,Matches
322,Johan Mojica\Johan-Mojica,co COL,DF,Elche,28-160,1992,2,2,180,2.0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.09,0.09,0.00,0.09,Matches
323,Guillem Molina Gutiérrez\Guillem-Molina-Gutierrez,es ESP,DF,Valencia,20-270,2000,1,0,74,0.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
324,Jorge Molina\Jorge-Molina,es ESP,FWMF,Granada,38-281,1982,16,7,618,6.9,3,0,0,0,0,0,0.44,0.00,0.44,0.44,0.44,1.8,1.8,0.7,0.26,0.10,0.36,0.26,0.36,Matches
325,Victor Mollejo\Victor-Mollejo,es ESP,MFDF,Getafe,20-007,2001,4,0,72,0.8,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.08,0.08,0.00,0.08,Matches
326,Jon Moncayola\Jon-Moncayola,es ESP,MF,Osasuna,22-260,1998,19,16,1461,16.2,1,0,0,0,3,1,0.06,0.00,0.06,0.06,0.06,0.6,0.6,0.4,0.04,0.02,0.06,0.04,0.06,Matches
327,Nacho Monreal\Nacho-Monreal,es ESP,DF,Real Sociedad,34-337,1986,11,9,820,9.1,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,0.4,0.4,0.3,0.04,0.03,0.08,0.04,0.08,Matches
328,Ángel Montoro\Angel-Montoro,es ESP,MF,Granada,32-217,1988,10,9,647,7.2,1,1,1,1,1,0,0.14,0.14,0.28,0.00,0.14,1.1,0.4,1.1,0.16,0.15,0.31,0.05,0.20,Matches
329,Martín Montoya\Martin-Montoya,es ESP,DF,Betis,29-289,1991,4,2,230,2.6,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.02,0.13,0.15,0.02,0.15,Matches
330,Emre Mor\Emre-Mor,tr TUR,FWMF,Celta Vigo,23-188,1997,11,6,500,5.6,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.06,0.03,0.10,0.06,0.10,Matches
331,Jon Morcillo\Jon-Morcillo,es ESP,FW,Athletic Club,22-135,1998,15,5,494,5.5,0,2,0,0,2,0,0.00,0.36,0.36,0.00,0.36,0.8,0.8,1.0,0.14,0.18,0.31,0.14,0.31,Matches
332,Álex Moreno\Alex-Moreno,es ESP,DF,Betis,27-234,1993,14,13,1118,12.4,0,1,0,0,2,0,0.00,0.08,0.08,0.00,0.08,0.2,0.2,1.1,0.02,0.09,0.11,0.02,0.11,Matches
333,Gerard Moreno\Gerard-Moreno,es ESP,FWMF,Villarreal,28-296,1992,16,16,1410,15.7,10,2,4,4,3,0,0.64,0.13,0.77,0.38,0.51,8.6,5.6,3.0,0.55,0.19,0.74,0.36,0.55,Matches
334,Tete Morente\Tete-Morente,es ESP,MFFW,Elche,24-055,1996,15,12,1084,12.0,2,2,0,0,4,0,0.17,0.17,0.33,0.17,0.33,1.5,1.5,0.7,0.13,0.05,0.18,0.13,0.18,Matches
335,Loren Morón\Loren-Moron,es ESP,FW,Betis,27-029,1993,14,5,586,6.5,1,0,0,0,1,0,0.15,0.00,0.15,0.15,0.15,1.5,1.5,0.3,0.24,0.05,0.29,0.24,0.29,Matches
336,Pedro Mosquera\Pedro-Mosquera,es ESP,MF,Huesca,32-282,1988,18,18,1607,17.9,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.6,0.02,0.03,0.05,0.02,0.05,Matches
337,Javi Moyano\Javi-Moyano,es ESP,DF,Valladolid,34-340,1986,2,2,103,1.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
