,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
247,Jan Luca Schuler\Jan-Luca-Schuler,de GER,FW,Schalke 04,21-312,1999,1,0,10,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.47,0.00,0.47,0.47,0.47,Matches
248,Anderson Lucoqui\Anderson-Lucoqui,ao ANG,DF,Arminia,23-206,1997,12,9,819,9.1,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
249,Kilian Ludewig\Kilian-Ludewig,de GER,DF,Schalke 04,20-329,2000,6,6,520,5.8,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.00,0.05,0.05,0.00,0.05,Matches
250,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,23-126,1997,17,14,1222,13.6,3,3,0,0,1,0,0.22,0.22,0.44,0.22,0.44,4.1,4.1,1.4,0.30,0.11,0.40,0.30,0.40,Matches
251,Andreas Luthe\Andreas-Luthe,de GER,GK,Union Berlin,33-324,1987,18,18,1620,18.0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
252,Tim Maciejewski\Tim-Maciejewski,de GER,MF,Union Berlin,19-329,2001,1,0,8,0.1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
253,Arne Maier\Arne-Maier,de GER,MF,Arminia,22-020,1999,5,2,108,1.2,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.06,0.06,0.00,0.06,Matches
254,Arne Maier\Arne-Maier,de GER,MF,Hertha BSC,22-020,1999,2,0,30,0.3,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.49,0.49,0.00,0.49,Matches
255,Yunus Mallı\Yunus-Malli,tr TUR,MF,Wolfsburg,28-339,1992,1,1,58,0.6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.22,0.22,0.00,0.22,Matches
256,Orel Mangala\Orel-Mangala,be BEL,MF,Stuttgart,22-316,1998,17,17,1526,17.0,1,2,0,0,3,0,0.06,0.12,0.18,0.06,0.18,1.2,1.2,1.4,0.07,0.08,0.15,0.07,0.15,Matches
