Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2020-10-24,15:00 (18:30),Atalanta,2.1,1–3,1.9,Sampdoria,1000,Stadio Atleti Azzurri d'Italia,Giampaolo Calvarese,Match Report,
5,Sat,2020-10-24,18:00 (21:30),Genoa,0.0,0–2,1.8,Inter,1000,Stadio Comunale Luigi Ferraris,Davide Massa,Match Report,
5,Sat,2020-10-24,20:45 (00:15),Lazio,1.0,2–1,1.5,Bologna,1000,Stadio Olimpico,Massimiliano Irrati,Match Report,
5,Sun,2020-10-25,12:30 (17:00),Cagliari,2.4,4–2,1.6,Crotone,1000,Sardegna Arena,Antonio Di Martino,Match Report,
5,Sun,2020-10-25,15:00 (19:30),Benevento,0.5,1–2,2.1,Napoli,1000,Stadio Ciro Vigorito,Daniele Doveri,Match Report,
5,Sun,2020-10-25,15:00 (19:30),Parma,3.2,2–2,0.9,Spezia,1000,Stadio Ennio Tardini,Valerio Marini,Match Report,
5,Sun,2020-10-25,18:00 (22:30),Fiorentina,1.2,3–2,1.8,Udinese,1000,Stadio Artemio Franchi,Francesco Fourneau,Match Report,
5,Sun,2020-10-25,20:45 (01:15),Juventus,1.8,1–1,0.7,Hellas Verona,1000,Allianz Stadium,Fabrizio Pasqua,Match Report,
5,Mon,2020-10-26,20:45 (01:15),Milan,2.6,3–3,2.3,Roma,,Stadio Giuseppe Meazza,Piero Giacomelli,Match Report,
,,,,,,,,,,,,,
6,Sat,2020-10-31,15:00 (19:30),Crotone,0.4,1–2,2.6,Atalanta,,Stadio Ezio Scida,Federico Dionisi,Match Report,
6,Sat,2020-10-31,18:00 (22:30),Inter,2.5,2–2,0.7,Parma,,Stadio Giuseppe Meazza,Marco Piccinini,Match Report,
6,Sat,2020-10-31,20:45 (01:15),Bologna,1.4,3–2,0.6,Cagliari,,Stadio Renato Dall'Ara,Michael Fabbri,Match Report,
